timeframe,date,original_start,open,close,high,low,volume,peak_or_valley,strength,permanent_strength,atr,return_end_time,movement_start_time,return_end_value,movement_start_value,target,timeframe_timedelta,major_timeframe,is_resistance,level,internal_margin,external_margin,ttl,hit,boundary_of_hit_end_0,hit_end_0,boundary_of_hit_start_1,boundary_of_hit_end_1,hit_start_1,hit_end_1,boundary_of_hit_start_2,left_more_significant_top,left_more_significant_top_value,right_more_significant_top,right_more_significant_top_value,deactivated_at,passing_time,boundary_of_hit_end_2,hit_start_2,hit_end_2,archived_at,master_pivot_timeframe,master_pivot_date
4h,2023-11-16 19:40:00+00:00,2023-11-16 19:40:00+00:00,35516.7,35611.7,35611.7,35499.5,11.40572679,valley,102000.0,False,653.4047181621064,2023-11-16 22:18:00+00:00,2023-11-16 11:42:00+00:00,36179.0,37460.2,35499.5,0 days 04:00:00,True,False,35499.5,35916.7,34846.095281837894,2024-02-10 03:40:00+00:00,2,2023-11-17 00:00:00+00:00,2023-11-17 04:00:00+00:00,2023-11-17 08:00:00+00:00,2023-11-17 16:00:00+00:00,2023-11-17 12:00:00+00:00,2023-11-17 20:00:00+00:00,2023-11-18 00:00:00+00:00,,,,,,,,,,,,
1h,2023-11-16 14:30:00+00:00,2023-11-16 14:30:00+00:00,36543.4,36592.0,36592.0,36437.1,24.76312308,valley,4380.0,True,302.8500395782218,2023-11-16 14:47:00+00:00,2023-11-16 11:49:00+00:00,36767.0,37373.6,36437.1,0 days 01:00:00,True,False,36437.1,36707.7,36134.249960421774,2023-12-07 22:30:00+00:00,0,2023-11-16 15:00:00+00:00,,,,,,,,,2023-11-16 15:55:00+00:00,36256.7,2023-11-16 20:00:00+00:00,2023-11-16 20:00:00+00:00,,,,,,
1h,2023-11-16 15:55:00+00:00,2023-11-16 15:55:00+00:00,36326.5,36367.0,36385.0,36256.7,15.0737503,valley,7740.0,True,327.8536081797775,2023-11-16 16:20:00+00:00,2023-11-16 12:35:00+00:00,36622.0,37249.9,36256.7,0 days 01:00:00,True,False,36256.7,36405.3,35928.84639182022,2023-12-07 23:55:00+00:00,0,2023-11-16 17:00:00+00:00,2023-11-17 23:00:00+00:00,2023-11-18 00:00:00+00:00,,,,,,,2023-11-16 18:24:00+00:00,36080.0,,,,,,,,
1h,2023-11-16 19:40:00+00:00,2023-11-16 19:40:00+00:00,35516.7,35611.7,35611.7,35499.5,11.40572679,valley,102000.0,False,354.416443753192,2023-11-16 19:46:00+00:00,2023-11-16 17:38:00+00:00,35862.3,36568.5,35499.5,0 days 01:00:00,False,False,35499.5,35916.7,35145.083556246806,2023-12-08 03:40:00+00:00,2,2023-11-16 20:00:00+00:00,2023-11-16 22:00:00+00:00,2023-11-16 23:00:00+00:00,2023-11-17 15:00:00+00:00,2023-11-17 14:00:00+00:00,2023-11-17 17:00:00+00:00,2023-11-17 18:00:00+00:00,,,,,,,,,,,,
1h,2023-11-16 20:00:00+00:00,2023-11-16 14:30:00+00:00,36543.4,36592.0,36592.0,36437.1,24.76312308,valley,4380.0,True,302.8500395782218,2023-11-16 20:00:00+00:00,2023-11-16 11:49:00+00:00,36767.0,37373.6,36437.1,0 days 01:00:00,True,True,36437.1,36134.249960421774,36707.7,2023-12-07 22:30:00+00:00,0,2023-11-16 21:00:00+00:00,,,,,,,,,2023-11-16 15:55:00+00:00,36256.7,,,,,,,,
1h,2023-11-17 02:30:00+00:00,2023-11-17 02:30:00+00:00,36633.1,36615.6,36665.2,36612.7,4.49698162,peak,38880.0,True,342.816645965966,2023-11-17 03:20:00+00:00,2023-11-16 19:41:00+00:00,36318.9,35603.8,36665.2,0 days 01:00:00,True,True,36665.2,36558.9,37008.01664596597,2023-12-08 10:30:00+00:00,3,2023-11-17 04:00:00+00:00,2023-11-17 05:00:00+00:00,2023-11-17 06:00:00+00:00,2023-11-17 14:00:00+00:00,2023-11-17 13:00:00+00:00,2023-11-17 15:00:00+00:00,2023-11-17 16:00:00+00:00,2023-11-16 15:32:00+00:00,36909.6,2023-11-17 17:03:00+00:00,36789.7,2023-11-17 20:00:00+00:00,,2023-11-17 18:00:00+00:00,2023-11-17 17:00:00+00:00,2023-11-17 20:00:00+00:00,,,
1h,2023-11-17 17:03:00+00:00,2023-11-17 17:03:00+00:00,36308.0,36564.1,36789.7,36308.0,147.72614268,peak,25020.0,False,332.9710999885991,2023-11-17 17:04:00+00:00,2023-11-16 20:28:00+00:00,36377.7,35787.5,36789.7,0 days 01:00:00,True,True,36789.7,36499.0,37122.6710999886,2023-12-09 01:03:00+00:00,0,2023-11-17 18:00:00+00:00,,,,,,,2023-11-16 15:32:00+00:00,36909.6,,,,,,,,,,
15min,2023-11-16 02:02:00+00:00,2023-11-16 02:02:00+00:00,37391.1,37371.0,37391.1,37340.1,4.33833247,valley,8640.0,True,161.71839728220385,2023-11-16 02:16:00+00:00,2023-11-16 00:55:00+00:00,37506.7,37825.9,37340.1,0 days 00:15:00,True,False,37340.1,37421.8,37178.381602717796,2023-11-21 10:02:00+00:00,3,2023-11-16 02:30:00+00:00,2023-11-16 02:45:00+00:00,2023-11-16 03:00:00+00:00,2023-11-16 03:30:00+00:00,2023-11-16 03:15:00+00:00,2023-11-16 04:45:00+00:00,2023-11-16 05:00:00+00:00,,,2023-11-16 04:26:00+00:00,37325.0,2023-11-16 06:00:00+00:00,2023-11-16 13:00:00+00:00,2023-11-16 05:30:00+00:00,2023-11-16 05:15:00+00:00,2023-11-16 06:00:00+00:00,,,
15min,2023-11-16 04:26:00+00:00,2023-11-16 04:26:00+00:00,37343.4,37380.2,37380.2,37325.0,4.30290853,valley,14220.0,True,124.80475852748025,2023-11-16 04:32:00+00:00,2023-11-16 01:26:00+00:00,37456.1,37707.3,37325.0,0 days 00:15:00,True,False,37325.0,37365.5,37200.19524147252,2023-11-21 12:26:00+00:00,2,2023-11-16 04:45:00+00:00,2023-11-16 05:45:00+00:00,2023-11-16 06:00:00+00:00,2023-11-16 08:30:00+00:00,2023-11-16 08:15:00+00:00,2023-11-16 11:15:00+00:00,2023-11-16 11:30:00+00:00,,,2023-11-16 08:27:00+00:00,37203.0,2023-11-16 13:00:00+00:00,2023-11-16 13:00:00+00:00,2023-11-16 12:00:00+00:00,2023-11-16 11:45:00+00:00,,,,
15min,2023-11-16 08:27:00+00:00,2023-11-16 08:27:00+00:00,37265.0,37221.0,37275.9,37203.0,15.42611185,valley,2460.0,True,101.2511208193453,2023-11-16 08:34:00+00:00,2023-11-16 07:48:00+00:00,37311.4,37509.7,37203.0,0 days 00:15:00,True,False,37203.0,37287.1,37101.74887918065,2023-11-21 16:27:00+00:00,3,2023-11-16 08:45:00+00:00,2023-11-16 09:15:00+00:00,2023-11-16 09:30:00+00:00,2023-11-16 10:00:00+00:00,2023-11-16 09:45:00+00:00,2023-11-16 10:15:00+00:00,2023-11-16 10:30:00+00:00,,,2023-11-16 09:08:00+00:00,37187.9,2023-11-16 11:30:00+00:00,2023-11-16 13:15:00+00:00,2023-11-16 11:15:00+00:00,2023-11-16 11:00:00+00:00,2023-11-16 11:30:00+00:00,,,
15min,2023-11-16 09:08:00+00:00,2023-11-16 09:08:00+00:00,37213.1,37246.5,37247.4,37187.9,7.33350091,valley,9900.0,True,107.56439957729631,2023-11-16 09:11:00+00:00,2023-11-16 07:46:00+00:00,37305.7,37517.1,37187.9,0 days 00:15:00,True,False,37187.9,37300.9,37080.3356004227,2023-11-21 17:08:00+00:00,2,2023-11-16 09:15:00+00:00,2023-11-16 10:00:00+00:00,2023-11-16 10:15:00+00:00,2023-11-16 10:45:00+00:00,2023-11-16 10:30:00+00:00,2023-11-16 11:15:00+00:00,2023-11-16 11:30:00+00:00,,,2023-11-16 11:54:00+00:00,37119.0,2023-11-16 13:15:00+00:00,2023-11-16 13:15:00+00:00,2023-11-16 12:00:00+00:00,2023-11-16 11:45:00+00:00,,,,
15min,2023-11-16 11:29:00+00:00,2023-11-16 11:29:00+00:00,37532.0,37520.2,37539.0,37520.2,0.56686543,peak,15420.0,True,102.1027094513278,2023-11-16 11:35:00+00:00,2023-11-16 09:08:00+00:00,37420.0,37187.9,37539.0,0 days 00:15:00,True,True,37539.0,37520.2,37641.10270945133,2023-11-21 19:29:00+00:00,0,2023-11-16 11:45:00+00:00,2023-11-16 12:00:00+00:00,2023-11-16 12:15:00+00:00,,,,,2023-11-16 07:04:00+00:00,37616.3,,,,,,,,,,
15min,2023-11-16 11:54:00+00:00,2023-11-16 11:54:00+00:00,37153.0,37179.3,37182.4,37119.0,6.26321488,valley,1800.0,True,118.72580559833868,2023-11-16 11:59:00+00:00,2023-11-16 11:39:00+00:00,37247.0,37491.4,37119.0,0 days 00:15:00,True,False,37119.0,37246.9,37000.27419440166,2023-11-21 19:54:00+00:00,0,2023-11-16 12:00:00+00:00,,,,,,,,,2023-11-16 12:30:00+00:00,37044.9,2023-11-16 13:30:00+00:00,2023-11-16 13:30:00+00:00,,,,,,
15min,2023-11-16 12:30:00+00:00,2023-11-16 12:30:00+00:00,37069.9,37105.5,37105.6,37044.9,7.28762415,valley,2400.0,True,132.13443691674564,2023-11-16 12:32:00+00:00,2023-11-16 11:42:00+00:00,37180.0,37460.2,37044.9,0 days 00:15:00,True,False,37044.9,37069.9,36912.76556308325,2023-11-21 20:30:00+00:00,0,2023-11-16 12:45:00+00:00,,,,,,,,,2023-11-16 14:30:00+00:00,36437.1,2023-11-16 14:00:00+00:00,2023-11-16 14:00:00+00:00,,,,,,
15min,2023-11-16 13:00:00+00:00,2023-11-16 02:02:00+00:00,37391.1,37371.0,37391.1,37340.1,4.33833247,valley,8640.0,True,161.71839728220385,2023-11-16 13:00:00+00:00,2023-11-16 00:55:00+00:00,37506.7,37825.9,37340.1,0 days 00:15:00,True,True,37340.1,37178.381602717796,37421.8,2023-11-21 10:02:00+00:00,0,2023-11-16 13:15:00+00:00,2023-11-16 13:30:00+00:00,2023-11-16 13:45:00+00:00,,,,,,,2023-11-16 04:26:00+00:00,37325.0,,,,,,,,
15min,2023-11-16 13:00:00+00:00,2023-11-16 04:26:00+00:00,37343.4,37380.2,37380.2,37325.0,4.30290853,valley,14220.0,True,124.80475852748025,2023-11-16 13:00:00+00:00,2023-11-16 01:26:00+00:00,37456.1,37707.3,37325.0,0 days 00:15:00,True,True,37325.0,37200.19524147252,37365.5,2023-11-21 12:26:00+00:00,0,2023-11-16 13:15:00+00:00,2023-11-16 13:30:00+00:00,2023-11-16 13:45:00+00:00,,,,,,,2023-11-16 08:27:00+00:00,37203.0,,,,,,,,
15min,2023-11-16 13:15:00+00:00,2023-11-16 08:27:00+00:00,37265.0,37221.0,37275.9,37203.0,15.42611185,valley,2460.0,True,101.2511208193453,2023-11-16 13:15:00+00:00,2023-11-16 07:48:00+00:00,37311.4,37509.7,37203.0,0 days 00:15:00,True,True,37203.0,37101.74887918065,37287.1,2023-11-21 16:27:00+00:00,0,2023-11-16 13:30:00+00:00,2023-11-16 13:45:00+00:00,2023-11-16 14:00:00+00:00,,,,,,,2023-11-16 09:08:00+00:00,37187.9,,,,,,,,
15min,2023-11-16 13:15:00+00:00,2023-11-16 09:08:00+00:00,37213.1,37246.5,37247.4,37187.9,7.33350091,valley,9900.0,True,107.56439957729631,2023-11-16 13:15:00+00:00,2023-11-16 07:46:00+00:00,37305.7,37517.1,37187.9,0 days 00:15:00,True,True,37187.9,37080.3356004227,37300.9,2023-11-21 17:08:00+00:00,0,2023-11-16 13:30:00+00:00,2023-11-16 13:45:00+00:00,2023-11-16 14:00:00+00:00,,,,,,,2023-11-16 11:54:00+00:00,37119.0,,,,,,,,
15min,2023-11-16 13:30:00+00:00,2023-11-16 11:54:00+00:00,37153.0,37179.3,37182.4,37119.0,6.26321488,valley,1800.0,True,118.72580559833868,2023-11-16 13:30:00+00:00,2023-11-16 11:39:00+00:00,37247.0,37491.4,37119.0,0 days 00:15:00,True,True,37119.0,37000.27419440166,37246.9,2023-11-21 19:54:00+00:00,0,2023-11-16 13:45:00+00:00,2023-11-16 14:00:00+00:00,2023-11-16 14:15:00+00:00,,,,,,,2023-11-16 12:30:00+00:00,37044.9,,,,,,,,
15min,2023-11-16 14:00:00+00:00,2023-11-16 12:30:00+00:00,37069.9,37105.5,37105.6,37044.9,7.28762415,valley,2400.0,True,132.13443691674564,2023-11-16 14:00:00+00:00,2023-11-16 11:42:00+00:00,37180.0,37460.2,37044.9,0 days 00:15:00,True,True,37044.9,36912.76556308325,37069.9,2023-11-21 20:30:00+00:00,0,2023-11-16 14:15:00+00:00,2023-11-16 14:30:00+00:00,2023-11-16 14:45:00+00:00,,,,,,,2023-11-16 14:30:00+00:00,36437.1,,,,,,,,
15min,2023-11-16 14:30:00+00:00,2023-11-16 14:30:00+00:00,36543.4,36592.0,36592.0,36437.1,24.76312308,valley,4380.0,True,165.76395729812586,2023-11-16 14:31:00+00:00,2023-11-16 13:39:00+00:00,36641.0,36937.4,36437.1,0 days 00:15:00,False,False,36437.1,36543.4,36271.33604270187,2023-11-21 22:30:00+00:00,0,2023-11-16 14:45:00+00:00,2023-11-16 15:00:00+00:00,2023-11-16 15:15:00+00:00,2023-11-16 15:45:00+00:00,2023-11-16 15:30:00+00:00,,,,,2023-11-16 15:55:00+00:00,36256.7,2023-11-16 18:45:00+00:00,2023-11-16 18:45:00+00:00,,,,,,
15min,2023-11-16 15:55:00+00:00,2023-11-16 15:55:00+00:00,36326.5,36367.0,36385.0,36256.7,15.0737503,valley,7740.0,True,200.3656703625965,2023-11-16 16:01:00+00:00,2023-11-16 15:33:00+00:00,36466.4,36906.9,36256.7,0 days 00:15:00,False,False,36256.7,36405.3,36056.3343296374,2023-11-21 23:55:00+00:00,0,2023-11-16 16:15:00+00:00,2023-11-16 16:30:00+00:00,2023-11-16 16:45:00+00:00,2023-11-16 18:00:00+00:00,2023-11-16 17:45:00+00:00,,,,,2023-11-16 18:24:00+00:00,36080.0,2023-11-16 19:30:00+00:00,2023-11-16 19:30:00+00:00,,,,,,
