timeframe,date,end,ttl,ATR,zero_trigger_candle,a_pattern_ATR,a_trigger_ATR,internal_high,internal_low,upper_band_activated,below_band_activated
1min,2024-01-03 00:34:00+00:00,,2024-01-03 04:50:00+00:00,28.55562484434615,False,91.3804653646345,181.85355078984983,45008.5,45000.0,,2024-01-03 00:38:00+00:00
15min,2024-01-03 01:15:00+00:00,,2024-01-05 17:15:00+00:00,167.60902007481818,False,404.6216316118284,601.747704081632,45203.3,45153.5,2024-01-03 07:45:00+00:00,2024-01-03 02:00:00+00:00
1min,2024-01-03 01:49:00+00:00,,2024-01-03 06:05:00+00:00,20.07818270016217,False,71.71281732886123,163.0766550645121,45224.6,45220.2,2024-01-03 03:09:00+00:00,2024-01-03 01:51:00+00:00
1min,2024-01-03 02:24:00+00:00,,2024-01-03 06:40:00+00:00,26.691055345072243,False,76.03737418953376,157.03140156072706,45302.1,45291.5,2024-01-03 02:36:00+00:00,2024-01-03 02:30:00+00:00
1min,2024-01-03 02:38:00+00:00,,2024-01-03 06:54:00+00:00,23.738907981895547,False,73.16246760000172,152.95773002067511,45274.6,45266.1,2024-01-03 02:47:00+00:00,2024-01-03 03:14:00+00:00
1min,2024-01-03 02:39:00+00:00,,2024-01-03 06:55:00+00:00,22.36470026890301,False,73.16246760000172,152.95773002067511,45274.6,45270.2,2024-01-03 02:46:00+00:00,2024-01-03 03:14:00+00:00
1min,2024-01-03 02:40:00+00:00,,2024-01-03 06:56:00+00:00,21.06007882112464,False,70.1794342000017,152.95773002067511,45274.3,45270.2,2024-01-03 02:46:00+00:00,2024-01-03 03:14:00+00:00
1min,2024-01-03 02:44:00+00:00,,2024-01-03 07:00:00+00:00,19.93967646840261,False,70.1794342000017,152.95773002067511,45280.4,45272.8,2024-01-03 02:46:00+00:00,2024-01-03 03:17:00+00:00
1min,2024-01-03 04:03:00+00:00,,2024-01-03 08:19:00+00:00,11.0086395639514,False,52.01244029963672,126.6603159588268,45238.6,45238.5,2024-01-03 04:04:00+00:00,2024-01-03 04:16:00+00:00
15min,2024-01-03 04:15:00+00:00,,2024-01-05 20:15:00+00:00,122.47743624748192,False,357.40955708862447,591.8371537900869,45261.6,45206.5,2024-01-03 07:45:00+00:00,2024-01-03 09:30:00+00:00
1min,2024-01-03 04:41:00+00:00,,2024-01-03 08:57:00+00:00,15.559220671486983,False,49.66084439136263,121.01476222980465,45161.7,45161.6,2024-01-03 04:42:00+00:00,2024-01-03 04:45:00+00:00
1min,2024-01-03 05:53:00+00:00,,2024-01-03 10:09:00+00:00,19.940873705788768,False,47.59100706650333,108.9989487501313,45217.8,45212.0,2024-01-03 05:58:00+00:00,2024-01-03 06:18:00+00:00
1min,2024-01-03 06:37:00+00:00,,2024-01-03 10:53:00+00:00,14.694651334385885,False,45.86533729690896,102.0334513134251,45218.6,45218.5,2024-01-03 07:42:00+00:00,2024-01-03 06:38:00+00:00
1min,2024-01-03 06:54:00+00:00,,2024-01-03 11:10:00+00:00,14.7220697309533,False,43.08653281388803,102.19534764818069,45295.4,45285.9,2024-01-03 07:41:00+00:00,2024-01-03 06:55:00+00:00
1min,2024-01-03 06:59:00+00:00,,2024-01-03 11:15:00+00:00,18.8801259085038,False,44.5660661843248,102.19534764818069,45333.8,45320.5,2024-01-03 07:00:00+00:00,2024-01-03 07:09:00+00:00
1min,2024-01-03 08:11:00+00:00,,2024-01-03 12:27:00+00:00,30.25107865832752,False,72.85222534817326,119.03388490349258,45119.5,45101.9,2024-01-03 08:12:00+00:00,2024-01-03 08:18:00+00:00
1min,2024-01-03 08:20:00+00:00,,2024-01-03 12:36:00+00:00,32.49069346323524,False,73.95676573388398,118.1671788389575,45152.6,45141.9,2024-01-03 08:23:00+00:00,2024-01-03 08:59:00+00:00
5min,2024-01-03 08:25:00+00:00,,2024-01-04 05:45:00+00:00,72.60271103860656,False,118.1671788389575,333.1060276970067,45154.0,45105.0,2024-01-03 11:05:00+00:00,2024-01-03 09:00:00+00:00
5min,2024-01-03 08:30:00+00:00,,2024-01-04 05:50:00+00:00,70.62394596442047,False,119.0695232076036,333.1060276970067,45154.0,45120.9,2024-01-03 08:40:00+00:00,2024-01-03 09:00:00+00:00
5min,2024-01-03 08:35:00+00:00,,2024-01-04 05:55:00+00:00,67.45794982410493,False,119.0695232076036,333.1060276970067,45153.8,45127.5,2024-01-03 08:40:00+00:00,2024-01-03 09:00:00+00:00
1min,2024-01-03 09:12:00+00:00,,2024-01-03 13:28:00+00:00,17.10399678139201,False,62.320980498125394,121.67525215349536,45280.5,45277.3,2024-01-03 09:17:00+00:00,2024-01-03 09:13:00+00:00
1min,2024-01-03 09:45:00+00:00,,2024-01-03 14:01:00+00:00,34.95585727217014,False,76.28671572043872,126.93018548878608,45416.9,45405.7,2024-01-03 09:48:00+00:00,
1min,2024-01-03 09:50:00+00:00,,2024-01-03 14:06:00+00:00,31.890149591978577,False,76.51623602612166,126.93018548878608,45367.8,45354.9,2024-01-03 10:00:00+00:00,2024-01-03 09:53:00+00:00
1min,2024-01-03 09:51:00+00:00,,2024-01-03 14:07:00+00:00,30.140853192551123,False,76.51623602612166,126.93018548878608,45363.7,45356.3,2024-01-03 10:00:00+00:00,2024-01-03 09:53:00+00:00
1min,2024-01-03 10:49:00+00:00,,2024-01-03 15:05:00+00:00,33.67764141200987,False,78.85584696807862,134.6708878525935,45094.3,45082.7,2024-01-03 11:07:00+00:00,2024-01-03 10:50:00+00:00
1min,2024-01-03 10:55:00+00:00,,2024-01-03 15:11:00+00:00,31.30023315729729,False,78.60631702859861,134.6708878525935,45099.8,45086.2,2024-01-03 11:07:00+00:00,2024-01-03 10:58:00+00:00
1min,2024-01-03 11:05:00+00:00,,2024-01-03 15:21:00+00:00,30.1757946899564,False,86.68605907057767,158.1515387202655,45087.9,45078.7,2024-01-03 11:07:00+00:00,
1min,2024-01-03 11:42:00+00:00,,2024-01-03 15:58:00+00:00,71.83891890921659,False,138.21656905602114,189.3526022639028,44453.6,44439.5,2024-01-03 11:49:00+00:00,
1min,2024-01-03 12:18:00+00:00,,2024-01-03 16:34:00+00:00,356.3352328640972,False,491.7261038006431,463.48723293505645,42447.9,42335.9,2024-01-03 12:20:00+00:00,2024-01-03 15:54:00+00:00
1min,2024-01-03 12:35:00+00:00,,2024-01-03 16:51:00+00:00,234.4445486932306,False,467.5847967162167,458.8452877254096,42255.1,42169.0,,2024-01-03 12:48:00+00:00
1min,2024-01-03 12:44:00+00:00,,2024-01-03 17:00:00+00:00,170.69374176612993,False,447.94302552220114,458.8452877254096,42235.9,42168.2,,2024-01-03 12:47:00+00:00
1min,2024-01-03 12:57:00+00:00,,2024-01-03 17:13:00+00:00,136.8652069022759,False,422.50015563858426,473.299195745023,42709.8,42639.7,2024-01-03 13:22:00+00:00,2024-01-03 15:54:00+00:00
5min,2024-01-03 13:10:00+00:00,,2024-01-04 10:30:00+00:00,377.8945852543622,False,460.6849674775211,609.8623760592774,42683.4,42543.5,2024-01-03 14:15:00+00:00,2024-01-03 16:00:00+00:00
1min,2024-01-03 13:12:00+00:00,,2024-01-03 17:28:00+00:00,105.73483264783872,False,377.8945852543622,460.6849674775211,42682.8,42650.7,2024-01-03 13:14:00+00:00,2024-01-03 15:54:00+00:00
5min,2024-01-03 13:15:00+00:00,,2024-01-04 10:35:00+00:00,361.3092577361937,False,453.9360412291271,609.8623760592774,42683.4,42543.5,2024-01-03 14:15:00+00:00,2024-01-03 16:00:00+00:00
5min,2024-01-03 13:30:00+00:00,,2024-01-04 10:50:00+00:00,324.45252887988994,False,441.02632399847545,609.8623760592774,42540.4,42412.3,2024-01-03 14:25:00+00:00,2024-01-03 15:50:00+00:00
1min,2024-01-03 13:55:00+00:00,,2024-01-03 18:11:00+00:00,73.31382771364686,False,280.93140991365425,427.8030151414416,42469.2,42424.9,2024-01-03 13:57:00+00:00,2024-01-03 15:53:00+00:00
1min,2024-01-03 14:21:00+00:00,,2024-01-03 18:37:00+00:00,69.3434819565908,False,253.45428835654488,410.1740283617528,42366.8,42323.3,2024-01-03 14:22:00+00:00,2024-01-03 15:05:00+00:00
15min,2024-01-03 14:45:00+00:00,,2024-01-06 06:45:00+00:00,386.0383203731438,False,600.5007777693287,864.1575458700237,42353.6,42167.7,,2024-01-03 15:45:00+00:00
1min,2024-01-03 14:48:00+00:00,,2024-01-03 19:04:00+00:00,68.40076813186626,False,222.81545391571663,386.0383203731438,42281.4,42247.8,2024-01-03 14:59:00+00:00,2024-01-03 15:03:00+00:00
1min,2024-01-03 14:51:00+00:00,,2024-01-03 19:07:00+00:00,62.801999849019474,False,216.0429214931655,386.0383203731438,42315.3,42281.3,2024-01-03 14:52:00+00:00,2024-01-03 15:03:00+00:00
5min,2024-01-03 15:15:00+00:00,,2024-01-04 12:35:00+00:00,189.19080563523025,False,364.9340619543945,617.9792936429478,42465.9,42369.4,2024-01-03 18:55:00+00:00,2024-01-03 15:50:00+00:00
1min,2024-01-03 15:30:00+00:00,,2024-01-03 19:46:00+00:00,51.81737503829937,False,179.32397958476716,350.66734324336613,42423.0,42407.0,2024-01-03 15:32:00+00:00,2024-01-03 15:33:00+00:00
5min,2024-01-03 15:40:00+00:00,,2024-01-04 13:00:00+00:00,166.05639056033473,False,350.66734324336613,617.9792936429478,42434.7,42387.9,2024-01-03 18:55:00+00:00,2024-01-03 15:50:00+00:00
1min,2024-01-03 15:44:00+00:00,,2024-01-03 20:00:00+00:00,48.24382085795809,False,166.05639056033473,350.66734324336613,42427.7,42394.3,2024-01-03 15:46:00+00:00,2024-01-03 15:53:00+00:00
1min,2024-01-03 16:12:00+00:00,,2024-01-03 20:28:00+00:00,126.48006988007585,False,237.63200757180024,395.6315357557596,43310.6,43262.0,2024-01-03 16:37:00+00:00,2024-01-03 16:29:00+00:00
5min,2024-01-03 16:15:00+00:00,,2024-01-04 13:35:00+00:00,233.77257845952863,False,390.4578546303479,629.5664869541657,43320.0,43145.3,2024-01-03 16:35:00+00:00,
5min,2024-01-03 16:20:00+00:00,,2024-01-04 13:40:00+00:00,225.4031085695628,False,390.4578546303479,629.5664869541657,43299.3,43182.7,2024-01-03 16:35:00+00:00,
1min,2024-01-03 16:23:00+00:00,,2024-01-03 20:39:00+00:00,102.668752968036,False,225.4031085695628,390.4578546303479,43278.9,43223.5,2024-01-03 16:38:00+00:00,2024-01-03 16:28:00+00:00
1min,2024-01-03 16:50:00+00:00,,2024-01-03 21:06:00+00:00,87.5754762028359,False,227.3751209598504,400.4029460843309,43004.3,42967.7,2024-01-03 17:04:00+00:00,
15min,2024-01-03 17:00:00+00:00,,2024-01-06 09:00:00+00:00,386.58844993545006,False,613.3545950288681,906.1248640221646,43026.1,42819.1,2024-01-03 18:45:00+00:00,2024-01-04 13:45:00+00:00
1min,2024-01-03 17:40:00+00:00,,2024-01-03 21:56:00+00:00,50.11184785849177,False,177.96738574151496,365.05891856679153,42849.5,42820.3,2024-01-03 17:45:00+00:00,2024-01-03 17:59:00+00:00
1min,2024-01-03 17:41:00+00:00,,2024-01-03 21:57:00+00:00,48.97528729717072,False,177.96738574151496,365.05891856679153,42845.2,42820.3,2024-01-03 17:45:00+00:00,2024-01-03 17:59:00+00:00
1min,2024-01-03 18:42:00+00:00,,2024-01-03 22:58:00+00:00,51.4831824012687,False,153.63407605370094,338.2493146914338,42679.2,42666.8,2024-01-03 18:47:00+00:00,2024-01-03 18:45:00+00:00
1min,2024-01-03 19:08:00+00:00,,2024-01-03 23:24:00+00:00,92.53173155173364,False,178.64689117667987,358.1889499125117,42442.5,42398.0,,2024-01-03 19:20:00+00:00
1min,2024-01-03 19:19:00+00:00,,2024-01-03 23:35:00+00:00,69.46485700761967,False,167.21543167785143,349.4540249187609,42512.0,42488.5,,2024-01-03 19:22:00+00:00
1min,2024-01-03 19:25:00+00:00,,2024-01-03 23:41:00+00:00,65.16891157543967,False,161.39136710998403,349.4540249187609,42645.3,42609.3,2024-01-03 20:10:00+00:00,2024-01-03 19:31:00+00:00
1min,2024-01-03 19:26:00+00:00,,2024-01-03 23:42:00+00:00,63.47827503433683,False,161.39136710998403,349.4540249187609,42645.3,42615.5,2024-01-03 20:08:00+00:00,2024-01-03 19:31:00+00:00
1min,2024-01-03 19:27:00+00:00,,2024-01-03 23:43:00+00:00,62.08696967474134,False,161.39136710998403,349.4540249187609,42649.6,42615.5,2024-01-03 20:08:00+00:00,2024-01-03 19:31:00+00:00
1min,2024-01-03 19:28:00+00:00,,2024-01-03 23:44:00+00:00,60.37361469797452,False,161.39136710998403,349.4540249187609,42653.8,42615.7,2024-01-03 19:57:00+00:00,2024-01-03 19:31:00+00:00
1min,2024-01-03 19:33:00+00:00,,2024-01-03 23:49:00+00:00,55.681810075517696,False,173.9205551735568,350.62873742456384,42708.1,42678.8,2024-01-03 19:46:00+00:00,2024-01-03 19:34:00+00:00
1min,2024-01-03 19:45:00+00:00,,2024-01-04 00:01:00+00:00,66.47272992027806,False,169.80767482372627,336.8481133228096,42711.8,42690.2,2024-01-03 19:46:00+00:00,2024-01-03 20:31:00+00:00
1min,2024-01-03 19:48:00+00:00,,2024-01-04 00:04:00+00:00,64.2406660476857,False,169.80767482372627,336.8481133228096,42680.2,42643.8,2024-01-03 19:57:00+00:00,2024-01-03 20:22:00+00:00
1min,2024-01-03 19:54:00+00:00,,2024-01-04 00:10:00+00:00,59.87977836150338,False,165.00712662203142,336.8481133228096,42618.1,42584.5,2024-01-03 20:10:00+00:00,2024-01-03 20:02:00+00:00
1min,2024-01-03 19:55:00+00:00,,2024-01-04 00:11:00+00:00,58.19550847853855,False,159.0423318633149,336.8481133228096,42618.1,42586.4,2024-01-03 20:10:00+00:00,2024-01-03 20:02:00+00:00
1min,2024-01-03 20:25:00+00:00,,2024-01-04 00:41:00+00:00,44.80696336106223,False,136.5605895262122,312.63842424262657,42720.3,42700.7,2024-01-03 20:44:00+00:00,2024-01-03 20:31:00+00:00
1min,2024-01-03 20:26:00+00:00,,2024-01-04 00:42:00+00:00,43.19218026384381,False,136.5605895262122,312.63842424262657,42720.3,42701.6,2024-01-03 20:44:00+00:00,2024-01-03 20:31:00+00:00
1min,2024-01-03 20:47:00+00:00,,2024-01-04 01:03:00+00:00,39.29501870188994,False,131.2409932699437,290.71170253573416,42683.7,42668.3,2024-01-03 21:08:00+00:00,2024-01-03 20:48:00+00:00
5min,2024-01-03 20:50:00+00:00,,2024-01-04 18:10:00+00:00,125.8594937506621,False,290.71170253573416,628.1688940519033,42738.5,42682.6,,2024-01-03 21:15:00+00:00
1min,2024-01-03 20:55:00+00:00,,2024-01-04 01:11:00+00:00,35.90878258023958,False,122.7052441970437,290.71170253573416,42731.4,42710.0,2024-01-03 21:07:00+00:00,2024-01-03 20:57:00+00:00
1min,2024-01-03 20:56:00+00:00,,2024-01-04 01:12:00+00:00,34.265298110222574,False,122.7052441970437,290.71170253573416,42731.4,42722.7,2024-01-03 20:59:00+00:00,2024-01-03 20:57:00+00:00
1min,2024-01-03 21:43:00+00:00,,2024-01-04 01:59:00+00:00,36.61769384355809,False,115.64767701652524,270.7971248072184,42850.0,42838.0,2024-01-03 22:22:00+00:00,2024-01-03 21:46:00+00:00
1min,2024-01-03 22:13:00+00:00,,2024-01-04 02:29:00+00:00,33.657431711560406,False,99.948943673616,249.1016025123468,42925.5,42918.8,2024-01-03 22:17:00+00:00,2024-01-04 00:16:00+00:00
1min,2024-01-03 22:37:00+00:00,,2024-01-04 02:53:00+00:00,38.599354705285066,False,100.2821275052954,240.2666878805437,42713.5,42713.4,2024-01-03 22:40:00+00:00,2024-01-03 22:47:00+00:00
1min,2024-01-03 22:49:00+00:00,,2024-01-04 03:05:00+00:00,32.55014246040988,False,100.10652830813706,234.06192446050449,42727.2,42727.1,2024-01-03 23:02:00+00:00,2024-01-03 23:00:00+00:00
1min,2024-01-03 22:53:00+00:00,,2024-01-04 03:09:00+00:00,27.18719332600343,False,95.2846334289843,234.06192446050449,42758.7,42753.7,2024-01-03 22:56:00+00:00,2024-01-03 23:49:00+00:00
1min,2024-01-03 22:54:00+00:00,,2024-01-04 03:10:00+00:00,25.58096523128869,False,95.2846334289843,234.06192446050449,42758.7,42754.0,2024-01-03 22:56:00+00:00,2024-01-03 23:49:00+00:00
5min,2024-01-03 22:55:00+00:00,,2024-01-04 20:15:00+00:00,90.621445326914,False,234.06192446050449,591.2879749733248,42753.6,42727.1,2024-01-03 23:05:00+00:00,2024-01-04 00:00:00+00:00
1h,2024-01-03 23:00:00+00:00,,2024-01-14 15:00:00+00:00,566.624548189516,False,872.708802306296,1679.3179664723043,42841.0,42606.3,,2024-01-04 12:00:00+00:00
15min,2024-01-03 23:15:00+00:00,,2024-01-06 15:15:00+00:00,224.9391083358429,False,566.624548189516,872.708802306296,42759.7,42618.1,,2024-01-04 02:45:00+00:00
15min,2024-01-03 23:30:00+00:00,,2024-01-06 15:30:00+00:00,214.12917202613977,False,566.624548189516,872.708802306296,42768.7,42695.1,,2024-01-04 02:45:00+00:00
1min,2024-01-04 00:13:00+00:00,,2024-01-04 04:29:00+00:00,28.631182179173617,False,73.06128138573199,159.2197157434402,42904.7,42896.1,2024-01-04 00:21:00+00:00,2024-01-04 00:14:00+00:00
1min,2024-01-04 02:08:00+00:00,,2024-01-04 06:24:00+00:00,26.220828507036646,False,75.82335190494005,154.06019512243347,42765.0,42751.7,,2024-01-04 02:11:00+00:00
1min,2024-01-04 02:09:00+00:00,,2024-01-04 06:25:00+00:00,24.64791218510525,False,75.82335190494005,154.06019512243347,42755.6,42751.7,,2024-01-04 02:10:00+00:00
1min,2024-01-04 02:28:00+00:00,,2024-01-04 06:44:00+00:00,23.72479151189586,False,76.78990144098809,149.54160975654506,42892.8,42881.9,,2024-01-04 02:32:00+00:00
1min,2024-01-04 03:06:00+00:00,,2024-01-04 07:22:00+00:00,30.37133757631328,False,85.3843166486228,151.93608477956633,43105.7,43105.6,2024-01-04 03:23:00+00:00,2024-01-04 03:07:00+00:00
1min,2024-01-04 03:27:00+00:00,,2024-01-04 07:43:00+00:00,29.43438656031543,False,83.2525189452659,154.7977930095973,43064.6,43052.5,2024-01-04 03:33:00+00:00,2024-01-04 03:47:00+00:00
5min,2024-01-04 03:40:00+00:00,,2024-01-05 01:00:00+00:00,74.6463498989608,False,148.22652208034006,649.7187052429255,43055.0,43033.6,2024-01-04 07:40:00+00:00,2024-01-04 03:45:00+00:00
5min,2024-01-04 03:55:00+00:00,,2024-01-05 01:15:00+00:00,71.92832752478738,False,145.84605621745874,649.7187052429255,43121.5,43089.1,2024-01-04 04:00:00+00:00,2024-01-04 04:45:00+00:00
1h,2024-01-04 04:00:00+00:00,,2024-01-14 20:00:00+00:00,619.5173691541452,False,920.3231179716784,1694.215889212829,43197.9,43007.3,,2024-01-04 15:00:00+00:00
1min,2024-01-04 04:28:00+00:00,,2024-01-04 08:44:00+00:00,20.97363744472987,False,72.04307159851454,142.9738954119928,43133.6,43122.1,2024-01-04 04:31:00+00:00,2024-01-04 04:46:00+00:00
1min,2024-01-04 04:29:00+00:00,,2024-01-04 08:45:00+00:00,20.1469490558207,False,72.04307159851454,142.9738954119928,43134.4,43125.6,2024-01-04 04:31:00+00:00,2024-01-04 04:46:00+00:00
15min,2024-01-04 04:30:00+00:00,,2024-01-06 20:30:00+00:00,137.5900457397075,False,619.5173691541452,920.3231179716784,43119.9,43077.0,2024-01-04 07:30:00+00:00,2024-01-04 05:30:00+00:00
5min,2024-01-04 04:40:00+00:00,,2024-01-05 02:00:00+00:00,67.00992285055987,False,137.5900457397075,619.5173691541452,43114.3,43077.0,2024-01-04 07:15:00+00:00,2024-01-04 04:45:00+00:00
1min,2024-01-04 05:02:00+00:00,,2024-01-04 09:18:00+00:00,21.36904602224385,False,69.59582482650043,131.65876392862538,43128.7,43119.7,2024-01-04 05:23:00+00:00,2024-01-04 05:03:00+00:00
1min,2024-01-04 05:09:00+00:00,,2024-01-04 09:25:00+00:00,21.92369694494345,False,68.5104087674648,131.65876392862538,43153.7,43144.6,2024-01-04 05:20:00+00:00,2024-01-04 05:15:00+00:00
1min,2024-01-04 05:29:00+00:00,,2024-01-04 09:45:00+00:00,19.25915825113992,False,62.06754177445799,130.9188522194381,43087.4,43087.3,2024-01-04 07:07:00+00:00,2024-01-04 05:31:00+00:00
1min,2024-01-04 05:46:00+00:00,,2024-01-04 10:02:00+00:00,23.454264727779726,False,67.86717411027429,133.7932960463522,43228.4,43228.3,2024-01-04 05:47:00+00:00,2024-01-04 07:06:00+00:00
1min,2024-01-04 06:52:00+00:00,,2024-01-04 11:08:00+00:00,18.26607334446542,False,59.09623571954955,123.46743618231596,43141.2,43132.0,2024-01-04 07:07:00+00:00,2024-01-04 07:00:00+00:00
1min,2024-01-04 06:53:00+00:00,,2024-01-04 11:09:00+00:00,17.497068105575032,False,59.09623571954955,123.46743618231596,43141.2,43133.7,2024-01-04 07:07:00+00:00,2024-01-04 07:00:00+00:00
1min,2024-01-04 07:26:00+00:00,,2024-01-04 11:42:00+00:00,36.53415919535393,False,77.81928231020655,130.86886078985373,43045.7,43039.8,2024-01-04 07:40:00+00:00,2024-01-04 07:30:00+00:00
1min,2024-01-04 07:58:00+00:00,,2024-01-04 12:14:00+00:00,50.65068175165402,False,96.66926030082668,153.44712996676213,42819.4,42799.4,2024-01-04 08:18:00+00:00,2024-01-04 08:01:00+00:00
4h,2024-01-04 08:00:00+00:00,,2024-02-16 00:00:00+00:00,895.17860954513,False,1694.215889212829,2277.6104227405244,43216.3,42767.2,,2024-01-04 12:00:00+00:00
1min,2024-01-04 08:03:00+00:00,,2024-01-04 12:19:00+00:00,48.078657664249285,False,100.19288456505332,152.91519211199343,42888.6,42870.5,2024-01-04 08:09:00+00:00,2024-01-04 08:22:00+00:00
1min,2024-01-04 08:59:00+00:00,,2024-01-04 13:15:00+00:00,24.88749114063796,False,90.21238797261722,155.56347560861863,42852.7,42843.2,2024-01-04 10:23:00+00:00,2024-01-04 09:00:00+00:00
5min,2024-01-04 09:45:00+00:00,,2024-01-05 07:05:00+00:00,78.75053144192692,False,148.6715672339071,510.53483620171306,42976.6,42945.4,2024-01-04 10:15:00+00:00,2024-01-04 09:55:00+00:00
1min,2024-01-04 10:14:00+00:00,,2024-01-04 14:30:00+00:00,24.15599246272601,False,79.23621104797712,148.97359814577098,42939.9,42929.9,2024-01-04 10:16:00+00:00,2024-01-04 10:38:00+00:00
1min,2024-01-04 10:22:00+00:00,,2024-01-04 14:38:00+00:00,27.04775731857041,False,83.4526513627968,159.32548399250172,42841.3,42824.1,2024-01-04 10:23:00+00:00,2024-01-04 10:33:00+00:00
1min,2024-01-04 10:49:00+00:00,,2024-01-04 15:05:00+00:00,39.647370837084274,False,97.53128734018352,166.68983058537114,43073.9,43058.1,2024-01-04 11:12:00+00:00,2024-01-04 11:01:00+00:00
5min,2024-01-04 10:50:00+00:00,,2024-01-05 08:10:00+00:00,93.37190967302725,False,166.68983058537114,504.4252050444479,43070.1,43030.8,2024-01-04 11:15:00+00:00,2024-01-04 11:30:00+00:00
1min,2024-01-04 10:53:00+00:00,,2024-01-04 15:09:00+00:00,35.522999752133686,False,93.37190967302725,166.68983058537114,43048.8,43033.3,2024-01-04 11:16:00+00:00,2024-01-04 10:56:00+00:00
1min,2024-01-04 11:54:00+00:00,,2024-01-04 16:10:00+00:00,27.24547244485126,False,82.41759004195261,158.08744667192852,43174.3,43163.9,2024-01-04 11:56:00+00:00,2024-01-04 12:01:00+00:00
1min,2024-01-04 12:50:00+00:00,,2024-01-04 17:06:00+00:00,36.52368378265344,False,93.84255442265874,163.661056965768,43347.3,43328.3,2024-01-04 13:03:00+00:00,2024-01-04 13:51:00+00:00
1min,2024-01-04 12:51:00+00:00,,2024-01-04 17:07:00+00:00,35.12913494103533,False,93.84255442265874,163.661056965768,43341.5,43328.3,2024-01-04 13:03:00+00:00,2024-01-04 12:55:00+00:00
1min,2024-01-04 12:52:00+00:00,,2024-01-04 17:08:00+00:00,34.091339588104134,False,93.84255442265874,163.661056965768,43341.5,43324.6,2024-01-04 13:03:00+00:00,2024-01-04 12:53:00+00:00
5min,2024-01-04 13:10:00+00:00,,2024-01-05 10:30:00+00:00,85.93491245485116,False,158.92098146821334,465.1935041846404,43327.1,43288.3,2024-01-04 13:30:00+00:00,2024-01-04 13:50:00+00:00
1min,2024-01-04 13:37:00+00:00,,2024-01-04 17:53:00+00:00,30.47123631433015,False,81.16822464244622,154.83135647004156,43258.4,43250.8,,2024-01-04 13:39:00+00:00
1min,2024-01-04 15:19:00+00:00,,2024-01-04 19:35:00+00:00,63.75332896467218,False,117.84880093675966,193.7380603152461,43900.0,43855.2,2024-01-04 15:23:00+00:00,2024-01-04 15:28:00+00:00
1min,2024-01-04 15:38:00+00:00,,2024-01-04 19:54:00+00:00,82.8301677027802,False,151.48710702714502,199.68534172129992,44228.4,44176.9,2024-01-04 15:41:00+00:00,2024-01-04 19:18:00+00:00
1min,2024-01-04 15:39:00+00:00,,2024-01-04 19:55:00+00:00,80.02087000972448,False,151.48710702714502,199.68534172129992,44219.0,44176.9,2024-01-04 15:40:00+00:00,2024-01-04 19:18:00+00:00
1min,2024-01-04 15:51:00+00:00,,2024-01-04 20:07:00+00:00,72.77534678979573,False,148.79470631874543,198.03638874120696,44072.8,44033.4,2024-01-04 16:06:00+00:00,2024-01-04 17:14:00+00:00
5min,2024-01-04 15:55:00+00:00,,2024-01-05 13:15:00+00:00,142.3093701531208,False,198.03638874120696,485.79848064900114,44084.9,44031.7,2024-01-04 16:05:00+00:00,2024-01-04 19:10:00+00:00
1min,2024-01-04 17:59:00+00:00,,2024-01-04 22:15:00+00:00,40.6615792928555,False,128.4839122710489,214.438843217782,43990.2,43982.1,2024-01-04 18:20:00+00:00,2024-01-04 18:01:00+00:00
1min,2024-01-04 18:15:00+00:00,,2024-01-04 22:31:00+00:00,32.32958515462802,False,116.82918883729248,206.3329821622711,43975.8,43963.4,2024-01-04 18:21:00+00:00,2024-01-04 18:16:00+00:00
5min,2024-01-04 18:30:00+00:00,,2024-01-05 15:50:00+00:00,111.47679587300745,False,199.952054864966,455.6276464963034,44036.0,43979.1,,2024-01-04 19:00:00+00:00
1min,2024-01-04 18:38:00+00:00,,2024-01-04 22:54:00+00:00,29.954127974410884,False,110.4213104535067,199.952054864966,43983.4,43979.1,2024-01-04 19:46:00+00:00,2024-01-04 18:39:00+00:00
1min,2024-01-04 18:49:00+00:00,,2024-01-04 23:05:00+00:00,31.54253770921153,False,103.49643605429956,192.81976523175405,44111.4,44090.9,2024-01-04 18:51:00+00:00,2024-01-04 19:03:00+00:00
1min,2024-01-04 19:58:00+00:00,,2024-01-05 00:14:00+00:00,49.700497092833125,False,118.890962240709,207.16821154685888,43964.8,43954.2,2024-01-04 20:07:00+00:00,2024-01-04 20:03:00+00:00
1min,2024-01-04 20:12:00+00:00,,2024-01-05 00:28:00+00:00,41.41751622947154,False,112.29797523427048,200.9990535792263,43943.9,43925.1,,2024-01-04 20:14:00+00:00
5min,2024-01-04 23:00:00+00:00,,2024-01-05 20:20:00+00:00,134.1445977025914,False,231.1988686085155,476.3925128862826,44348.1,44256.5,2024-01-04 23:50:00+00:00,
5min,2024-01-04 23:05:00+00:00,,2024-01-05 20:25:00+00:00,128.0056978666918,False,231.1988686085155,476.3925128862826,44299.2,44256.5,2024-01-04 23:50:00+00:00,
15min,2024-01-04 23:15:00+00:00,,2024-01-07 15:15:00+00:00,224.03466370790736,False,476.3925128862826,895.2691709805579,44349.8,44218.9,,
